ts	regime	predicted_edge_bps	confidence	should_trade	threshold_used	reason	realized_pnl_usd
2026-04-05T06:39:03.846503+00:00	warmup	-0.000000	0.061875	False	2.045887	low_signal_confidence	
2026-04-05T06:39:03.876395+00:00	warmup	-0.000000	0.061875	False	2.045887	low_signal_confidence	
2026-04-05T06:39:03.904358+00:00	warmup	-0.000000	0.061875	False	2.045887	low_signal_confidence	
2026-04-05T06:39:03.934228+00:00	warmup	-0.000000	0.061875	False	2.045887	low_signal_confidence	
2026-04-05T06:39:03.962533+00:00	quiet	-0.000000	0.211875	False	2.118219	low_signal_confidence	
2026-04-05T06:39:03.990499+00:00	quiet	-0.000000	0.211875	False	2.118219	low_signal_confidence	
2026-04-05T06:39:04.022033+00:00	quiet	-0.000000	0.211875	False	2.118219	low_signal_confidence	
2026-04-05T06:39:04.050073+00:00	quiet	-0.000000	0.211875	False	2.118219	low_signal_confidence	
2026-04-05T06:39:04.079168+00:00	quiet	-0.000000	0.211875	False	2.118219	low_signal_confidence	
2026-04-05T06:39:04.107970+00:00	quiet	-0.000000	0.211875	False	2.118219	low_signal_confidence	
2026-04-05T06:39:04.136737+00:00	quiet	-0.000000	0.211875	False	2.118219	low_signal_confidence	
2026-04-05T06:39:04.165175+00:00	quiet	-0.000000	0.211875	False	2.118219	low_signal_confidence	
2026-04-05T06:39:04.195046+00:00	quiet	-0.000000	0.211875	False	2.118219	low_signal_confidence	
2026-04-05T06:39:04.224069+00:00	quiet	-0.000000	0.211875	False	2.118219	low_signal_confidence	
2026-04-05T06:39:04.253523+00:00	quiet	-0.000000	0.211875	False	2.118219	low_signal_confidence	
2026-04-05T06:39:04.282090+00:00	quiet	-0.000000	0.211875	False	2.118219	low_signal_confidence	
2026-04-05T06:39:04.310513+00:00	quiet	-0.000000	0.211875	False	2.118219	low_signal_confidence	
2026-04-05T06:39:04.338780+00:00	quiet	-0.000000	0.211875	False	2.118219	low_signal_confidence	
2026-04-05T06:39:04.367901+00:00	quiet	-0.000000	0.211875	False	2.118219	low_signal_confidence	
2026-04-05T06:39:04.397326+00:00	quiet	-0.000000	0.211875	False	2.118219	low_signal_confidence	
2026-04-05T06:39:04.426426+00:00	quiet	5.319434	0.485347	True	2.077198	post_cost_expectancy_ok	
2026-04-05T06:39:04.456188+00:00	quiet	4.984544	0.485869	True	2.077120	post_cost_expectancy_ok	
2026-04-05T06:39:04.485496+00:00	quiet	4.668805	0.486344	True	2.077048	post_cost_expectancy_ok	
2026-04-05T06:39:04.515823+00:00	quiet	4.371017	0.473064	True	2.079040	post_cost_expectancy_ok	
2026-04-05T06:39:04.544902+00:00	quiet	4.090060	0.473462	True	2.078981	post_cost_expectancy_ok	-0.161827
2026-04-05T06:39:04.573592+00:00	quiet	8.276459	0.473827	True	2.078926	post_cost_expectancy_ok	0.144951
2026-04-05T06:39:04.602302+00:00	quiet	7.371818	0.474165	True	2.078875	post_cost_expectancy_ok	
2026-04-05T06:39:04.631671+00:00	quiet	6.953140	0.474477	True	2.078828	post_cost_expectancy_ok	
2026-04-05T06:39:04.660362+00:00	quiet	6.557620	0.474768	True	2.078785	post_cost_expectancy_ok	
2026-04-05T06:39:04.689735+00:00	quiet	6.183869	0.475038	True	2.078744	post_cost_expectancy_ok	-0.151392
2026-04-05T06:39:04.718479+00:00	quiet	6.187085	0.472547	True	2.079118	post_cost_expectancy_ok	
2026-04-05T06:39:04.747262+00:00	quiet	5.836356	0.472783	True	2.079083	post_cost_expectancy_ok	
2026-04-05T06:39:04.775487+00:00	quiet	5.505344	0.473004	True	2.079049	post_cost_expectancy_ok	0.048283
2026-04-05T06:39:04.804866+00:00	quiet	4.942346	0.473212	True	2.079018	post_cost_expectancy_ok	
